"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","高德天气 API","1","0","响应字段完整性","0"
"0","","0","GitHub REST API","1","0","Rate-Limit 响应头存在","0"
"3","","0","ExpandTesting 登录","0","0","空字段提交验证-数据驱动","0"
"0","","0","GitHub REST API","1","0","Content-Type 为 JSON","0"
"0","","0","GitHub REST API","1","0","获取仓库 Contributors","0"
"3","","0","ExpandTesting 登录","0","0","错误凭据登录-数据驱动","0"
"4","","0","百度搜索 UI","0","0","正常搜索-数据驱动","0"
"0","","0","GitHub REST API","3","0","按关键词搜索仓库","0"
"0","","0","高德天气 API","1","0","异常参数-无效城市编码","0"
"0","","0","高德天气 API","4","0","正常城市查询-数据驱动","0"
"0","","0","GitHub REST API","1","0","获取已知组织信息","0"
"0","","0","GitHub REST API","1","0","获取不存在的用户","0"
"0","","0","GitHub REST API","1","0","获取不存在的组织","0"
"1","","0","ExpandTesting 登录","0","0","正常登录","0"
"1","","0","百度搜索 UI","0","0","搜索框元素可见性","0"
"1","","0","百度搜索 UI","0","0","页面基本元素校验","0"
"0","","0","GitHub REST API","1","0","获取已知公开用户信息","0"
"3","","0","百度搜索 UI","0","0","特殊字符搜索","0"
"0","","0","GitHub REST API","1","0","获取不存在的仓库","0"
"0","","0","GitHub REST API","1","0","搜索结果分页","0"
"0","","0","GitHub REST API","1","0","获取仓库 Topics 标签","0"
"0","","0","GitHub REST API","1","0","获取用户公开仓库列表","0"
"0","","0","高德天气 API","1","0","异常参数-缺少 Key","0"
"1","","0","ExpandTesting 登录","0","0","登录后页面验证","0"
"0","","0","GitHub REST API","1","0","空关键词搜索","0"
"0","","0","高德天气 API","1","0","预报天气查询","0"
"1","","0","百度搜索 UI","0","0","截图存档","0"
"1","","0","ExpandTesting 登录","0","0","登录成功截图存档","0"
"0","","0","GitHub REST API","1","0","获取知名仓库详情","0"
